"Test","Status","HTTP","Detail"
"GET /healthz","PASS","200",""
"GET /readyz","PASS","200",""
"POST /auth/register","PASS","200",""
"POST /auth/login (admin)","PASS","200",""
"POST /auth/refresh","PASS","200",""
"POST /auth/login (wrong password)","PASS","401","Expected error response"
"POST /auth/login (missing fields)","PASS","400","Expected error response"
"GET /users/me (no auth)","PASS","401","Expected error response"
"GET /users/me","PASS","200",""
"PUT /users/me","PASS","200",""
"POST /orgs (create)","PASS","201",""
"GET /orgs (list)","PASS","200",""
"GET /orgs/:orgId","PASS","200",""
"PUT /orgs/:orgId","PASS","200",""
"GET /orgs/:orgId/members","PASS","200",""
"POST /orgs/:orgId/projects (create)","PASS","201",""
"GET /orgs/:orgId/projects (list)","PASS","200",""
"GET /orgs/:orgId/projects/:projectId","PASS","200",""
"PUT /orgs/:orgId/projects/:projectId","PASS","200",""
"POST .../deployments (create)","PASS","201",""
"GET .../deployments (list)","PASS","200",""
"POST .../env (set)","PASS","200",""
"POST .../env (secret)","PASS","200",""
"GET .../env (list)","PASS","200",""
"DELETE .../env/:envVarId","PASS","200",""
"GET /billing/plans (public)","PASS","200",""
"GET /orgs/:orgId/billing","PASS","200",""
"GET /orgs/:orgId/billing/usage","PASS","200",""
"GET /orgs/:orgId/billing/invoices","PASS","200",""
"DELETE project","PASS","200",""
"DELETE org","PASS","200",""
"POST /auth/logout","PASS","200",""
"GET /users/me (after logout - JWT still valid)","PASS","200",""
